Reference,P,Q,I,ET,Type,Alpha,
Kosmerl (2012) AB,198,65.46666667,27.31428571,7.219047619,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB,201,51.9,26.9,21.2,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB,203,33.3,43.8,22.9,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB,178,33.1,20.9,46,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB,194,78,9.4,12.7,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB,89,31.1,20.5,48.4,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB,95,21.1,24.4,54.5,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,38.4,7.9,53.7,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,58,0,42,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,79.8,0,20.2,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,78.6,0,21.4,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,70.6,0,29.4,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,82.1,1.2,16.6,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,81.4,0,18.6,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,81.4,0,18.6,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,119,71.1,0,28.9,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,94,35.6,19.4,45,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,104,43.6,0,56.4,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,45,69.4,0,30.6,Short-term or Event-scale estimate,1,
Kosmerl (2012) FGH,40,78.8,0,21.2,Short-term or Event-scale estimate,1,
Kosmerl (2012) AB calculated,1158,48.3,25.4,26.3,Undersized Retrofit,0.6,
Kosmerl (2012) FGH calculated,1234,66.4,2.2,31.4,Undersized Retrofit,0.6,
Kosmerl (2012) overall reported,1404,56,15,29,Undersized Retrofit,0.6,P is annual P in neighborhood
Kosmerl (2012) AB reported,1158,48,25,27,Undersized Retrofit,0.6,
Kosmerl (2012) FGH reported,1234,66,9,25,Undersized Retrofit,0.6,
Hess (2014) Thesis Appendix F,28.2,0,93,7,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,36.3,0,13,87,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,3,0,13,87,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,3.8,0,74,26,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,22.4,30,16,54,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,36.8,30,17,54,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,38.6,15,0,98,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,5.8,0,95,5,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,22.9,7,20,72,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,28.2,7,39,54,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,32.8,30,0,74,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,36.3,0,9,91,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,3,0,20,80,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,8.6,12,22,66,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,22.9,6,76,18,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,21.1,0,80,20,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,28.2,9,0,109,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,22.4,7,31,62,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,32.8,9,8,83,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,3,0,93,7,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,3.8,0,76,24,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,5.3,0,68,32,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,8.6,0,29,71,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,3.8,0,79,21,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,10.4,3,13,85,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,22.4,8,3,88,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,22.9,0,52,48,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,2.5,0,16,84,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,4.1,107,0,5,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,10.9,37,12,51,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Appendix F,2,0,95,5,Short-term or Event-scale estimate,1,
Hess (2014) Thesis Lysimeter 1,197.8,13,25,62,Lysimeters,0.85,
Hess (2014) Thesis Lysimeter 2,152.9,9,32,58,Lysimeters,0.85,
Hess (2014) Thesis Lysimeter 3,183.1,10,20,70,Lysimeters,0.85,
Strauch (2015) Douglas Co,279.4,7,90,2,Short-term or Event-scale estimate,1,
Strauch (2015) Douglas Co,228.6,19,76,5,Short-term or Event-scale estimate,1,
Strauch (2015) Douglas Co,355.6,11,87,2,Short-term or Event-scale estimate,1,
Strauch (2015) Douglas Co,355.6,20,78,2,Short-term or Event-scale estimate,1,
Strauch (2015) Douglas Co,1219.2,14,83,3,Unlined Cell with ET model,0.6,
Strauch (2015) Office on Aging,431.8,0,90,10,Short-term or Event-scale estimate,1,
Strauch (2015) Office on Aging,254,0,67,30,Short-term or Event-scale estimate,1,
Strauch (2015) Office on Aging,533.4,0,96,4,Short-term or Event-scale estimate,1,
Strauch (2015) Office on Aging,939.8,0,97,3,Short-term or Event-scale estimate,1,
Strauch (2015) Office on Aging,2184.4,0,95,5,Unlined Cell with ET model,0.6,
Li (2009) Cell L1,581,65,11,24,Unlined Cell with underdrain,0.6,
Li (2009) Cell L2,499,79,0,21,Lined Cell with underdrain,0.85,
Wardynski (2011) DRAINMOD,1700,58,36,4,Model,1,
Pitt (2007),25,16,16,67,Calculated estimate,1,
Pitt (2007),25,20,27,53,Calculated estimate,1,
Pitt (2007),25,41,7,52,Calculated estimate,1,
Pitt (2007),25,51,16,33,Calculated estimate,1,
Pitt (2007),25,24,6,69,Calculated estimate,1,
Pitt (2007),25,42,12,46,Calculated estimate,1,
